CED,Book Section
1.01,    1.1
1.01,    1.2
   1.02,    1.1
   1.02,    1.2
1.03,    1.3
1.04,    1.3
1.05,    1.4
1.06,    2.1
1.07,    2.2
1.07,    2.3
1.08,    2.4
1.09,    2.5
2.1,    2.6
2.2,    2.7
1.10,    4.1
1.11,    4.2
1.12,    4.3
1.13,    4.3
1.13,    4.4
2.03,    4.7
2.04,    4.1
2.04,    4.2
2.05,    4.3
2.06,    4.4
2.07,    4.3
2.08,    5.1
2.09,    5.2
2.09,    5.3
2.09,    5.4
2.11,    5.5
2.10,    5.7
2.12,    6.1
2.12,    6.2
3.03,    8.1
3.03,    8.2
3.03,    8.3
3.04,    8.4
3.05,    9.1
3.06,    9.3
3.07,    9.5
3.08,    9.6
3.09,    10.1
3.10,    10.1
3.11,    10.1
3.12,    10.2
3.13,    10.3
3.14,    10.6
3.15,    10.6
4.01,    7.3
4.02,    11.1
4.03,    11.1
4.04,    11.2
4.05,    11.3
4.06,    12.3
4.07,    12.3
4.08,    12.3
4.09,    12.4
4.10,    12.4
5.02,    13.1
5.03,    13.2
5.04,    13.3
5.05,    13.4
